date,open,high,low,close,volume,foreign_ownership,code,name,daily_return,event_day,cumulative_return,benchmark_return,abnormal_return,cumulative_abnormal_return,asset,case
2021-12-08,3017.93,3036.13,2995.34,3001.8,488246.0,0.0,KOSPI,KOSPI,0.0033692992659741794,-35,0.14813979016940215,0.0033692992659741794,0.0,0.0,KOSPI,LG Energy Solution IPO
2021-12-09,3007.0,3029.57,3001.55,3029.57,513445.0,0.0,KOSPI,KOSPI,0.009251115997068515,-34,0.15876136454910927,0.009251115997068515,0.0,0.0,KOSPI,LG Energy Solution IPO
2021-12-10,3008.7,3017.64,2998.29,3010.23,451599.0,0.0,KOSPI,KOSPI,-0.006383744227728694,-33,0.15136412837685365,-0.006383744227728694,0.0,0.0,KOSPI,LG Energy Solution IPO
2021-12-13,3019.67,3043.83,3000.51,3001.66,375828.0,0.0,KOSPI,KOSPI,-0.002846958538051947,-32,0.14808624244116442,-0.002846958538051947,0.0,0.0,KOSPI,LG Energy Solution IPO
2021-12-14,2983.95,3001.7,2976.16,2987.95,581569.0,0.0,KOSPI,KOSPI,-0.0045674726651253605,-31,0.14284238991160803,-0.0045674726651253605,0.0,0.0,KOSPI,LG Energy Solution IPO
2021-12-15,2979.83,2992.3,2973.0,2989.39,432874.0,0.0,KOSPI,KOSPI,0.00048193577536448373,-30,0.1433931665449093,0.00048193577536448373,0.0,0.0,KOSPI,LG Energy Solution IPO
2021-12-16,3013.26,3018.2,2989.63,3006.41,402825.0,0.0,KOSPI,KOSPI,0.005693469236198734,-29,0.14990304036351265,0.005693469236198734,0.0,0.0,KOSPI,LG Energy Solution IPO
2021-12-17,2985.2,3017.73,2984.19,3017.73,451824.0,0.0,KOSPI,KOSPI,0.003765288167615344,-28,0.15423275667529812,0.003765288167615344,0.0,0.0,KOSPI,LG Energy Solution IPO
2021-12-20,3001.33,3001.33,2962.07,2963.0,377584.0,0.0,KOSPI,KOSPI,-0.018136148694548604,-27,0.13329941977211623,-0.018136148694548604,0.0,0.0,KOSPI,LG Energy Solution IPO
2021-12-21,2981.67,2984.56,2955.9,2975.03,410979.0,0.0,KOSPI,KOSPI,0.004060074249071954,-26,0.13790069956282114,0.004060074249071954,0.0,0.0,KOSPI,LG Energy Solution IPO
2021-12-22,2993.5,3000.79,2976.65,2984.48,461755.0,0.0,KOSPI,KOSPI,0.0031764385569219566,-25,0.14151517121886115,0.0031764385569219566,0.0,0.0,KOSPI,LG Energy Solution IPO
2021-12-23,2998.02,3000.7,2980.91,2998.17,483838.0,0.0,KOSPI,KOSPI,0.004587063743097586,-24,0.14675137407295513,0.004587063743097586,0.0,0.0,KOSPI,LG Energy Solution IPO
2021-12-24,3009.48,3025.77,3009.48,3012.43,537548.0,0.0,KOSPI,KOSPI,0.004756234636461576,-23,0.1522055926777306,0.004756234636461576,0.0,0.0,KOSPI,LG Energy Solution IPO
2021-12-27,3013.94,3017.31,2999.3,2999.55,475363.0,0.0,KOSPI,KOSPI,-0.0042756180226593,-22,0.14727920167986897,-0.0042756180226593,0.0,0.0,KOSPI,LG Energy Solution IPO
2021-12-28,3006.77,3020.29,2991.55,3020.24,607046.0,0.0,KOSPI,KOSPI,0.006897701321864735,-21,0.15519279094584415,0.006897701321864735,0.0,0.0,KOSPI,LG Energy Solution IPO
2021-12-29,3002.9,3007.72,2988.67,2993.29,545831.0,0.0,KOSPI,KOSPI,-0.008923131936534823,-20,0.1448848532601006,-0.008923131936534823,0.0,0.0,KOSPI,LG Energy Solution IPO
2021-12-30,2999.75,3005.36,2975.74,2977.65,461038.0,0.0,KOSPI,KOSPI,-0.005225019961313415,-19,0.13890280704841107,-0.005225019961313415,0.0,0.0,KOSPI,LG Energy Solution IPO
2022-01-03,2998.32,3010.77,2979.42,2988.77,435825.0,0.0,KOSPI,KOSPI,0.0037344886067871563,-18,0.14315602660557136,0.0037344886067871563,0.0,0.0,KOSPI,LG Energy Solution IPO
2022-01-04,2991.97,2995.25,2973.08,2989.24,621549.0,0.0,KOSPI,KOSPI,0.00015725532576937873,-17,0.14333579397894036,0.00015725532576937873,0.0,0.0,KOSPI,LG Energy Solution IPO
2022-01-05,2984.05,2986.2,2936.73,2953.97,787346.0,0.0,KOSPI,KOSPI,-0.011798985695360642,-16,0.129845591300789,-0.011798985695360642,0.0,0.0,KOSPI,LG Energy Solution IPO
2022-01-06,2925.4,2952.54,2915.38,2920.53,786045.0,0.0,KOSPI,KOSPI,-0.011320358703710509,-15,0.11705533392745826,-0.011320358703710509,0.0,0.0,KOSPI,LG Energy Solution IPO
